"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902652","GO:1902652","secondary alcohol metabolic process","24/1152","150/18870",1.32819789309712e-05,0.0013647859860013,0.00107390141465707,"PCSK9/FMO5/APOB/ACADL/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/EPHX2/SQLE/ABCA1/DHCR7/IDI1/MVK/CYP46A1/APOBR/MVD/LDLR/CEBPA/ABCG1/LSS",24
"GO:0050767","GO:0050767","regulation of neurogenesis","46/1152","390/18870",1.41489933606268e-05,0.00142695218225877,0.00112281777721465,"TNFRSF1B/LRP8/PLXNA2/NGF/CRABP2/S100A10/SEMA4A/TRIM46/DRAXIN/HES2/FN1/PER2/WNT7A/SEMA3B/ROBO1/GATA2/VEGFC/TLR2/VCAN/TREM2/SEMA3A/PTN/FGF13/NEFL/NOTCH1/BDNF/SORL1/THY1/NRP1/NEURL1/DCT/POU4F1/ANXA2/DLL4/SEMA7A/HES7/RNF112/RND2/NOG/WNT3/HAP1/BMP2/TGM2/BMP7/LDLR/SHANK3",46
"GO:0051897","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","26/1152","171/18870",1.50431957015839e-05,0.00148954988710592,0.00117207367849087,"F3/TGFB2/DDR2/NTRK1/ERFE/FN1/HCLS1/KDR/HBEGF/TREM2/GCNT2/ANGPT1/MYORG/AKR1C3/STOX1/ADAM8/UNC5B/SPRY2/HSP90AA1/THBS1/SOX9/CSF3/C1QTNF1/AXL/GDF15/PDGFB",26
"GO:1901888","GO:1901888","regulation of cell junction assembly","30/1152","213/18870",1.61426251599207e-05,0.00155403648071384,0.00122281587896207,"NEGR1/S100A10/WNT4/SEMA4A/NTRK1/GPBAR1/WNT7A/EPHB3/APOD/HOPX/TLR2/KDR/CNTNAP2/CAV1/SRPX2/GPC4/GPM6B/DLC1/BDNF/VSTM5/THY1/NRP1/DKK1/AMIGO2/SLITRK6/LRFN5/FLRT2/THBS1/CRB3/CAMSAP3",30
"GO:0007613","GO:0007613","memory","21/1152","123/18870",1.65413212413853e-05,0.00155403648071384,0.00122281587896207,"NGF/CAMK4/PLK2/TREM2/CNR1/ADCY1/PTN/FGF13/BDNF/CPEB3/SORCS3/CCND2/TUBA1A/RASGRF1/PAK6/PLCB1/LDLR/KLK8/NTF4/LARGE1/SHANK3",21
"GO:0050729","GO:0050729","positive regulation of inflammatory response","24/1152","152/18870",1.66813948930699e-05,0.00155403648071384,0.00122281587896207,"TNFSF4/S100A12/S100A8/IL1RL1/IL15/TLR2/PTGER4/TSLP/TREM2/GPSM3/CNR1/SERPINE1/TLR4/PDE2A/ADAM8/TRPV4/LRRK2/ALOX5AP/NUPR1/GPRC5B/NLRP1/LDLR/CEBPA/LGALS1",24
"GO:0043491","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","37/1152","290/18870",1.74229595664057e-05,0.00155403648071384,0.00122281587896207,"F3/TGFB2/CRNN/PIK3R3/DDR2/NTRK1/XDH/ERFE/FN1/IRS1/MERTK/HCLS1/KDR/HBEGF/EDN1/TREM2/GCNT2/ANGPT1/MYORG/AKR1C3/STOX1/ADAM8/UNC5B/RAPGEF3/DDIT3/SPRY2/MYO16/HSP90AA1/THBS1/SOX9/CSF3/C1QTNF1/PPP1R16B/AXL/CEACAM1/GDF15/PDGFB",37
"GO:0061041","GO:0061041","regulation of wound healing","22/1152","133/18870",1.76002216216614e-05,0.00155403648071384,0.00122281587896207,"F3/WNT4/DDR2/FAP/FGB/FGA/FGG/HBEGF/EDN1/SERPINE1/CD36/CAV1/CLDN4/PLAT/ALOX5/THBS1/ANXA2/FOXC2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",22
"GO:0010975","GO:0010975","regulation of neuron projection development","51/1152","453/18870",1.7961916394404e-05,0.00155403648071384,0.00122281587896207,"LRP8/NEGR1/PLXNA2/MARK1/NGF/CRABP2/SEMA4A/TRIM46/DDR2/DRAXIN/NTRK1/FN1/WNT7A/TNIK/EPHB3/SEMA3B/ROBO1/ENC1/NR2F1/CNR1/SEMA3A/NRCAM/PTN/XK/FGF13/NEFL/KLF4/LPAR1/BDNF/EHD1/RTN4RL2/THY1/NRP1/DKK1/KNDC1/NEUROG3/PTPRO/TRPV4/LRRK2/NEO1/SEMA7A/RTN4RL1/ARHGAP44/SEZ6/RND2/SRCIN1/WNT3/CDH2/BMP7/KLK6/SHANK3",51
"GO:1904238","GO:1904238","pericyte cell differentiation","6/1152","11/18870",1.8094579290603e-05,0.00155403648071384,0.00122281587896207,"WNT4/OSR1/NOTCH1/BMP4/FOXC2/PDGFB",6
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","27/1152","183/18870",1.81585935569511e-05,0.00155403648071384,0.00122281587896207,"TGFB2/NGF/NTRK1/PSD4/GPR17/ARHGEF3/ROBO1/ARFGEF3/AUTS2/RASA4/RASA4B/DLC1/GPR20/RALGPS1/ABCA1/NOTCH1/LPAR1/ARHGAP20/NRP1/ARHGDIB/SPRY2/LPAR6/STARD13/RASGRF1/ADGRG1/ARHGAP44/RASIP1",27
"GO:0010038","GO:0010038","response to metal ion","43/1152","359/18870",1.83658481664665e-05,0.00155403648071384,0.00122281587896207,"SLC30A2/TNNT2/S100A8/IL1A/TFRC/TRPC3/FGB/FGA/FGG/ADGRV1/EDN1/PRKN/ADCY1/CAV1/RASA4/RASA4B/G6PD/LOXL2/ACO1/ASS1/AQP3/SYT7/SYT12/MUC2/UCP2/AKR1C3/LRRK2/TUBA1A/ALOX5AP/THBS1/CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1X/CPNE7/MT1G/KCNB1/ATP5F1D/RYR1/CEBPA/HMOX1",43
"GO:1903034","GO:1903034","regulation of response to wounding","26/1152","173/18870",1.85479932512669e-05,0.00155403648071384,0.00122281587896207,"F3/WNT4/DDR2/FAP/FGB/FGA/FGG/HBEGF/EDN1/SERPINE1/CD36/CAV1/CLDN4/PTN/PLAT/KLF4/ALOX5/THBS1/NEO1/ANXA2/FOXC2/RTN4RL1/C1QTNF1/SERPINB2/CEACAM1/PDGFB",26
"GO:0048839","GO:0048839","inner ear development","28/1152","194/18870",1.93982983478416e-05,0.0015908010809486,0.00125174463160634,"TGFB2/GRHL3/KCNQ4/TMIE/GATA2/ADGRV1/INSIG1/EYA1/ESRP1/NOTCH1/LHX3/MYO7A/HMX3/STOX1/LIN7A/SPRY2/SLITRK6/GJB2/GJB6/BMP4/ESRRB/FZD2/SOX9/ATP8B1/BMP2/MAFB/HPN/CEBPA",28
"GO:0042730","GO:0042730","fibrinolysis","9/1152","27/18870",1.96314699089438e-05,0.0015908010809486,0.00125174463160634,"FAP/FGB/FGA/FGG/SERPINE1/PLAT/THBS1/ANXA2/SERPINB2",9
"GO:0030900","GO:0030900","forebrain development","47/1152","407/18870",1.98631056747162e-05,0.0015908010809486,0.00125174463160634,"LRP8/TBX19/WNT4/DRAXIN/CHD5/GDF7/WNT7A/EPHB3/ROBO1/GATA2/SLC7A11/FAT4/PITX2/DNAH5/TUBB2A/SEMA3A/CNTNAP2/NR0B1/FGF13/DLC1/NEFL/NOTCH1/LPAR1/AKNA/LHX3/NRP1/DKK1/NEUROG3/LRRK2/TUBA1A/DCT/POU4F1/PCDH9/BMP4/SEMA7A/ITGAM/ADGRG1/RTN4RL1/NOG/HAP1/CDH2/BMP2/PLCB1/AXL/FUT1/LARGE1/SHANK3",47
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","19/1152","106/18870",2.03572301991594e-05,0.00160674602412496,0.00126429113868464,"S100A10/WNT4/SEMA4A/NTRK1/WNT7A/EPHB3/HOPX/KDR/CNTNAP2/CAV1/SRPX2/BDNF/VSTM5/THY1/NRP1/AMIGO2/SLITRK6/FLRT2/CRB3",19
"GO:0016125","GO:0016125","sterol metabolic process","24/1152","154/18870",2.0849152883244e-05,0.00161136492293976,0.00126792558542006,"PCSK9/FMO5/APOB/ACADL/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/EPHX2/SQLE/ABCA1/DHCR7/IDI1/MVK/CYP46A1/APOBR/MVD/LDLR/CEBPA/ABCG1/LSS",24
"GO:0010273","GO:0010273","detoxification of copper ion","7/1152","16/18870",2.17862208583903e-05,0.00161136492293976,0.00126792558542006,"MUC2/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G",7
"GO:0051770","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","7/1152","16/18870",2.17862208583903e-05,0.00161136492293976,0.00126792558542006,"TLR2/KDR/AKAP12/TLR4/LRRK2/NOD2/MAP2K3",7
"GO:1990169","GO:1990169","stress response to copper ion","7/1152","16/18870",2.17862208583903e-05,0.00161136492293976,0.00126792558542006,"MUC2/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G",7
"GO:0008202","GO:0008202","steroid metabolic process","40/1152","327/18870",2.18951531945542e-05,0.00161136492293976,0.00126792558542006,"WNT4/PCSK9/FMO5/APOB/ACADL/IL1A/SULT1E1/UGT2B17/MSMO1/HMGCS1/EGR1/INSIG1/NPC1L1/NSDHL/G6PD/NR0B1/FDFT1/EPHX2/SQLE/ABCA1/DHCR7/AKR1C3/IDI1/SDR9C7/MVK/CYP46A1/SLC27A2/RORA/CYP1A1/SCNN1B/HSD11B2/APOBR/MVD/ATP8B1/BMP2/CYP24A1/LDLR/CEBPA/ABCG1/LSS",40
"GO:0070542","GO:0070542","response to fatty acid","13/1152","56/18870",2.46230055240648e-05,0.00178795850778743,0.00140688077878551,"IRS1/ILDR1/TLR2/EDN1/CD36/ASS1/UCP2/DGAT2/AKR1C3/SCD/SOX9/PLCB1/LDLR",13
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","30/1152","218/18870",2.54034399312595e-05,0.00182035702454789,0.00143237401606866,"S100A7/NTRK1/MARCO/GPBAR1/IL1A/KDR/FGB/FGA/FGG/FGFR3/CD74/HAVCR2/TREM2/AKAP12/CCN2/GCNT2/CD36/ANGPT1/NOTCH1/TLR4/NRP1/TRPV4/SPRY2/BMP4/SEMA7A/NOD2/GAREM1/BMP2/FGF21/PDGFB",30
"GO:0050817","GO:0050817","coagulation","31/1152","229/18870",2.59893696593247e-05,0.00183815723590496,0.00144638036750664,"VAV3/F3/PRSS56/FAP/MERTK/PLEK/SLC7A11/FGB/FGA/FGG/EDN1/HS3ST5/TFPI2/SERPINE1/CD36/ACTB/CAV1/DGKI/PLAT/SYK/TLR4/PAPSS2/PRKCQ/SERPINA1/THBS1/ANXA2/C1QTNF1/SERPINB2/AXL/CEACAM1/PDGFB",31
"GO:0061448","GO:0061448","connective tissue development","36/1152","285/18870",2.79780807511186e-05,0.00195344394577682,0.0015370953675817,"OSR1/MATN3/GDF7/EFEMP1/WNT7A/HYAL1/BMPR1B/FGFR3/ADAMTS12/EGR1/SLC26A2/ANXA6/EDN1/CCN2/SCIN/TIMP1/STC1/LOXL2/GDF6/NOTCH1/SORL1/BARX2/DGAT2/ARID5B/TRPV4/PTHLH/HMGA2/BMP4/FOXC2/SOX9/NOG/BMP2/BMP7/PDGFB/LARGE1/CHADL",36
"GO:0007611","GO:0007611","learning or memory","35/1152","274/18870",2.83945791564642e-05,0.00195742883653296,0.00154023093598888,"NGF/NTRK1/SLC7A11/TLR2/CAMK4/PLK2/TREM2/CNR1/PRKN/ADCY1/CNTNAP2/PTN/PRKAR1B/NLGN4X/FGF13/BDNF/FOSL1/RAG1/DKK1/CPEB3/SORCS3/RAPGEF3/CCND2/TUBA1A/RASGRF1/PAK6/NOG/PLCB1/LDLR/KLK8/NTF4/NLGN4Y/LARGE1/MAPK8IP2/SHANK3",35
"GO:0007043","GO:0007043","cell-cell junction assembly","24/1152","157/18870",2.88762037516233e-05,0.00196574757039176,0.00154677665095866,"PKP1/GPBAR1/ILDR1/CLDN11/HOPX/UGT8/ANK2/GJA1/CNTNAP2/ACTB/FSCN1/CLDN15/CAV1/CLDN4/POF1B/GRHL2/PTPRO/TRPV4/PKP2/GJB2/GJB6/CLDN9/CLDN7/CDH2",24
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","30/1152","220/18870",3.02998366836179e-05,0.00203719642690103,0.00160299720778439,"S100A10/WNT4/FN1/COL8A1/CCDC80/APOD/ABI3BP/BST1/KDR/FGB/FGA/FGG/GCNT2/AGR2/SERPINE1/CD36/GPM6B/DLC1/NOTCH1/ECM2/THY1/NRP1/PTPRO/PKP2/THBS1/UNC13D/ONECUT2/CAMSAP3/FUT1/PDGFB",30
"GO:0001666","GO:0001666","response to hypoxia","37/1152","298/18870",3.17909062742509e-05,0.002111381409385,0.00166137072455039,"TGFB2/DDR2/ENO1/IL1A/TFRC/VEGFC/TLR2/EGR1/EDN1/TREM2/CITED2/CAV1/STC1/LOXL2/PLAT/NOTCH1/AQP3/UCP2/KCNJ11/STOX1/ADAM8/PDLIM1/TRPV4/THBS1/RORA/ARNT2/CYP1A1/HSD11B2/CYGB/BMP2/PTGIS/BMP7/ANGPTL4/RYR1/HIF3A/HMOX1/MB",37
"GO:0090596","GO:0090596","sensory organ morphogenesis","35/1152","277/18870",3.57287405982681e-05,0.00234432194335142,0.00184466332245465,"BCAR3/GRHL3/KCNQ4/OSR1/EFEMP1/COL5A2/COL8A1/TMIE/GATA2/KDR/PITX2/FBN2/EDN1/CITED2/INSIG1/EYA1/RORB/NOTCH1/FJX1/MYO7A/THY1/HMX3/STOX1/SPRY2/SLITRK6/GJB6/BMP4/NRL/FZD2/SOX9/NOG/BMP7/MAFB/HPN/LARGE1",35
"GO:0050807","GO:0050807","regulation of synapse organization","32/1152","244/18870",3.66674375341077e-05,0.00237727220012798,0.0018705907042776,"LRP8/NEGR1/SEMA4A/NTRK1/WNT7A/EPHB3/SLC7A11/TLR2/TREM2/NRCAM/SRPX2/GPC4/NEFL/BDNF/VSTM5/HSPA8/DKK1/SRGN/NEURL1/ARHGAP22/PTPRO/AMIGO2/LRRK2/TUBA1A/SLITRK6/LRFN5/FLRT2/ARHGAP44/SRCIN1/CDH2/KLK8/SHANK3",32
"GO:0060037","GO:0060037","pharyngeal system development","9/1152","29/18870",3.75448044978621e-05,0.00240551770935714,0.0018928160880594,"TGFB2/PLXNA2/NKX2-5/EDN1/EYA1/BMP4/NOG/BMP7/RIPPLY3",9
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","15/1152","75/18870",3.97613959022874e-05,0.00248897197797537,0.00195848327547746,"XDH/ROBO1/VEGFC/KDR/ADAMTS12/PTP4A3/GAS1/NOTCH1/NRP1/SPRY2/DLL4/MT1G/MAP2K3/ERN1/CCBE1",15
"GO:0061045","GO:0061045","negative regulation of wound healing","15/1152","75/18870",3.97613959022874e-05,0.00248897197797537,0.00195848327547746,"WNT4/FAP/FGB/FGA/FGG/EDN1/SERPINE1/PLAT/ALOX5/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",15
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","46/1152","407/18870",4.14570596835316e-05,0.00253839333802692,0.0019973711809938,"F3/TGFB2/CRNN/KDF1/RAP1GAP/OSR1/XDH/TGFA/GPBAR1/WNT7A/HYAL1/ROBO1/GATA2/VEGFC/FGFBP1/KDR/EREG/NKX2-5/CAV1/PTN/MAGED1/APLN/EYA1/NOTCH1/OVOL1/CCND1/NRP1/ALOX5/GPR15LG/KRT4/BMP4/TGM1/THBS1/DLL4/FA2H/NUPR1/NOD2/NGFR/SOX9/NOG/PPP1R16B/CEACAM1/FUT1/HPN/PDGFB/HMOX1",46
"GO:0009612","GO:0009612","response to mechanical stimulus","29/1152","213/18870",4.20375578059559e-05,0.00253839333802692,0.0019973711809938,"TLR5/DDR2/NTRK1/SLC8A1/TMEM150C/ADGRV1/PTGER4/EDN1/CITED2/LRP11/CNTNAP2/PTN/PHF24/TLR4/PDE2A/FOSL1/ANKRD1/TRPV4/TUBA1A/SCEL/SLITRK6/THBS1/SOX9/KCNJ2/CDH2/HPN/PKDREJ/LARGE1/SHANK3",29
"GO:0060326","GO:0060326","cell chemotaxis","39/1152","325/18870",4.24908692673294e-05,0.00253839333802692,0.0019973711809938,"VAV3/TGFB2/PADI2/PDE4B/ARHGEF16/S100A12/S100A8/S100A7/CSF3R/PRSS56/VEGFC/BST1/KDR/CD74/HBEGF/EDN1/GPSM3/SERPINE1/DOCK4/PTN/TMSB4X/SYK/NOTCH1/LPAR1/C5/NRP1/ADAM8/ALOX5/PRKCQ/GPR15LG/PTPRO/TRPV4/THBS1/DAPK2/CORO1A/NOD2/HOXB9/PDGFB/ITGB2",39
"GO:0007596","GO:0007596","blood coagulation","30/1152","224/18870",4.27432674194454e-05,0.00253839333802692,0.0019973711809938,"VAV3/F3/PRSS56/FAP/MERTK/PLEK/SLC7A11/FGB/FGA/FGG/EDN1/TFPI2/SERPINE1/CD36/ACTB/CAV1/DGKI/PLAT/SYK/TLR4/PAPSS2/PRKCQ/SERPINA1/THBS1/ANXA2/C1QTNF1/SERPINB2/AXL/CEACAM1/PDGFB",30
"GO:0051057","GO:0051057","positive regulation of small GTPase mediated signal transduction","14/1152","67/18870",4.28814151851775e-05,0.00253839333802692,0.0019973711809938,"NGF/NTRK1/GPR17/ARHGEF3/ROBO1/AUTS2/ADCYAP1R1/GPR20/NOTCH1/LPAR1/LPAR6/RASGRF1/ADGRG1/TGM2",14
"GO:0002064","GO:0002064","epithelial cell development","29/1152","214/18870",4.58524322234855e-05,0.00265651431796917,0.00209031636709753,"KDF1/NTRK1/ABCA12/IL1A/WNT7A/GATA2/KDR/BHLHA15/POF1B/MSN/STC1/GRHL2/NOTCH1/S1PR3/PDE2A/ST14/ROBO4/RAPGEF3/BMP4/FOXC2/SOX9/FASN/CDH2/ONECUT2/PPP1R16B/PLCB1/TJP3/CEBPA/PDGFB",29
"GO:0045216","GO:0045216","cell-cell junction organization","29/1152","214/18870",4.58524322234855e-05,0.00265651431796917,0.00209031636709753,"TGFB2/PKP1/GPBAR1/ILDR1/CLDN11/HOPX/UGT8/ANK2/GJA1/CNTNAP2/ACTB/FSCN1/CLDN15/CAV1/CLDN4/NLGN4X/POF1B/GRHL2/SVEP1/PTPRO/TRPV4/PKP2/GJB2/GJB6/CLDN9/CLDN7/CDH2/TJP3/CAMSAP3",29
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","20/1152","122/18870",4.76815676142347e-05,0.00273340860239076,0.00215082173692576,"TGFB2/XDH/IL1A/WNT7A/TNIK/UNC5CL/CCN2/SEMA3A/MID1/GDF6/GADD45G/TLR4/TRPV4/BMP4/NOD2/BMP2/PLCB1/GADD45B/MAP3K10/MAPK8IP2",20
"GO:0120254","GO:0120254","olefinic compound metabolic process","24/1152","162/18870",4.85892299419999e-05,0.0027564265235847,0.00216893371813466,"WNT4/DHRS3/MGLL/ADH1B/LRAT/EGR1/FAAH2/EPHX2/ALDH1A1/CEL/FADS2/DGAT2/AKR1C3/ALOX5/SDR9C7/CYP46A1/CYP1A1/SCNN1B/HSD11B2/ALOX12B/BMP2/PTGIS/CYP4F12/PLA2G4C",24
"GO:0032689","GO:0032689","negative regulation of type II interferon production","11/1152","44/18870",4.95838651478843e-05,0.00277008949878022,0.00217968462599963,"TNFSF4/PGLYRP3/IL1RL1/IL20RB/HAVCR2/CD274/PDCD1LG2/TLR4/DDIT3/NOD2/AXL",11
"GO:0001659","GO:0001659","temperature homeostasis","26/1152","183/18870",4.98473688726519e-05,0.00277008949878022,0.00217968462599963,"ACADL/IL1A/PER2/IL15/ELOVL6/NPR3/EGR1/GJA1/CNR1/CD36/CAV1/ACHE/ALDH1A1/GADD45G/SYK/LCN2/NOTCH1/TLR4/UCP2/SCD/PWWP2B/DDIT3/FOXC2/NOD2/YBX2/FGF21",26
"GO:0051896","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","32/1152","248/18870",5.05286473983355e-05,0.00277958599728621,0.00218715708196304,"F3/TGFB2/CRNN/DDR2/NTRK1/XDH/ERFE/FN1/HCLS1/KDR/HBEGF/TREM2/GCNT2/ANGPT1/MYORG/AKR1C3/STOX1/ADAM8/UNC5B/RAPGEF3/DDIT3/SPRY2/HSP90AA1/THBS1/SOX9/CSF3/C1QTNF1/PPP1R16B/AXL/CEACAM1/GDF15/PDGFB",32
"GO:0032642","GO:0032642","regulation of chemokine production","18/1152","104/18870",5.40480284732501e-05,0.00290397037740858,0.00228503071427224,"TNFSF4/ACKR1/IL1RL1/APOD/TLR2/EGR1/CD74/TSLP/HAVCR2/TREM2/SYK/KLF4/C5/TLR4/TRPV4/OAS1/NOD2/HMOX1",18
"GO:0010755","GO:0010755","regulation of plasminogen activation","7/1152","18/18870",5.43894562055958e-05,0.00290397037740858,0.00228503071427224,"S100A10/ENO1/SERPINE1/PLAT/THBS1/ANXA2/HPN",7
"GO:0042481","GO:0042481","regulation of odontogenesis","7/1152","18/18870",5.43894562055958e-05,0.00290397037740858,0.00228503071427224,"WNT10A/EDN1/BMP4/SP6/NGFR/APCDD1/BMP2",7
"GO:0050803","GO:0050803","regulation of synapse structure or activity","32/1152","250/18870",5.91045776286864e-05,0.00312508281326045,0.00245901620364213,"LRP8/NEGR1/SEMA4A/NTRK1/WNT7A/EPHB3/SLC7A11/TLR2/TREM2/NRCAM/SRPX2/GPC4/NEFL/BDNF/VSTM5/HSPA8/DKK1/SRGN/NEURL1/ARHGAP22/PTPRO/AMIGO2/LRRK2/TUBA1A/SLITRK6/LRFN5/FLRT2/ARHGAP44/SRCIN1/CDH2/KLK8/SHANK3",32
"GO:0043542","GO:0043542","endothelial cell migration","35/1152","284/18870",5.99905795370447e-05,0.00313522200791945,0.00246699437428534,"SEMA4A/PIK3R3/S100A12/FAP/WNT7A/ADAMTS9/ROBO1/GATA2/VEGFC/FGFBP1/KDR/S100P/PLK2/EDN1/PTN/PRKX/SRPX2/TMSB4X/STC1/LOXL2/PTP4A3/ANGPT1/KLF4/NOTCH1/NRP1/STARD13/THBS1/DLL4/FOXC2/MAP2K3/CCBE1/CEACAM1/FUT1/PDGFB/HMOX1",35
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","20/1152","124/18870",6.04477250884212e-05,0.00313522200791945,0.00246699437428534,"TGFB2/XDH/IL1A/WNT7A/TNIK/UNC5CL/CCN2/SEMA3A/MID1/GDF6/GADD45G/TLR4/TRPV4/BMP4/NOD2/BMP2/PLCB1/GADD45B/MAP3K10/MAPK8IP2",20
"GO:0032602","GO:0032602","chemokine production","18/1152","105/18870",6.15669275261243e-05,0.00316314610667238,0.00248896685162713,"TNFSF4/ACKR1/IL1RL1/APOD/TLR2/EGR1/CD74/TSLP/HAVCR2/TREM2/SYK/KLF4/C5/TLR4/TRPV4/OAS1/NOD2/HMOX1",18
"GO:0048762","GO:0048762","mesenchymal cell differentiation","33/1152","262/18870",6.28657861880504e-05,0.00319969225775815,0.00251772371442748,"TGFB2/MARK1/WNT4/SEMA4A/OSR1/WNT10A/FN1/IL17RD/SEMA3B/PITX2/ANXA6/EDN1/CITED2/GCNT2/SEMA3A/LOXL2/NOTCH1/AKNA/NRP1/ADAM8/HMGA2/SPRY2/BMP4/SEMA7A/FOXC2/SP6/SOX9/ZNF750/NOG/CDH2/BMP2/BMP7/HPN",33
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","13/1152","61/18870",6.43681511261906e-05,0.00323826399528795,0.00254807443895418,"IL1RN/FGB/FGA/FGG/GCNT2/NRCAM/KLF4/THY1/PKP2/DSC2/BMP7/IZUMO1/ITGB2",13
"GO:0070482","GO:0070482","response to oxygen levels","40/1152","343/18870",6.48190149901912e-05,0.00323826399528795,0.00254807443895418,"TGFB2/DDR2/ENO1/IL1A/TFRC/VEGFC/TLR2/GUCY1B1/EGR1/EDN1/TREM2/CITED2/CAV1/STC1/LOXL2/PLAT/NOTCH1/LPAR1/AQP3/GUCY1A2/UCP2/KCNJ11/STOX1/ADAM8/PDLIM1/TRPV4/THBS1/RORA/ARNT2/CYP1A1/HSD11B2/CYGB/BMP2/PTGIS/BMP7/ANGPTL4/RYR1/HIF3A/HMOX1/MB",40
"GO:0045778","GO:0045778","positive regulation of ossification","12/1152","53/18870",6.54074622625183e-05,0.00323826399528795,0.00254807443895418,"WNT4/OSR1/SLC8A1/BMPR1B/ADGRV1/FBN2/PTN/GPM6B/ALOX5/BMP4/BMP2/BMP7",12
"GO:0061437","GO:0061437","renal system vasculature development","9/1152","31/18870",6.76518360025353e-05,0.00328957052562328,0.00258844571772858,"OSR1/EGR1/ANGPT1/NOTCH1/NRP1/BMP4/FOXC2/BMP7/PDGFB",9
"GO:0061440","GO:0061440","kidney vasculature development","9/1152","31/18870",6.76518360025353e-05,0.00328957052562328,0.00258844571772858,"OSR1/EGR1/ANGPT1/NOTCH1/NRP1/BMP4/FOXC2/BMP7/PDGFB",9
"GO:0034308","GO:0034308","primary alcohol metabolic process","18/1152","106/18870",6.99961837975489e-05,0.00337344439788895,0.00265444307629084,"WNT4/DHRS3/SULT1B1/ADH1B/LRAT/SULT1E1/ALDH1A1/CEL/ALDH3B2/DGAT2/AKR1C3/SDR9C7/CYP1A1/SCNN1B/GDPD3/HSD11B2/BMP2/ACSS2",18
"GO:0019731","GO:0019731","antibacterial humoral response","14/1152","70/18870",7.13489647432122e-05,0.00340847773676784,0.00268200956112296,"SPRR2A/H2BC21/FGB/FGA/SPON2/DMBT1/IGHG1/IGHG3/IGHG4/NOD2/WFDC12/PI3/KLK5/KLK7",14
"GO:1903035","GO:1903035","negative regulation of response to wounding","17/1152","97/18870",7.34127579881759e-05,0.00347657286959657,0.0027355911924015,"WNT4/FAP/FGB/FGA/FGG/EDN1/SERPINE1/PLAT/ALOX5/THBS1/NEO1/ANXA2/RTN4RL1/C1QTNF1/SERPINB2/CEACAM1/PDGFB",17
"GO:0048864","GO:0048864","stem cell development","16/1152","88/18870",7.5219268053066e-05,0.00353141494669826,0.00277874446682425,"SEMA4A/FN1/WNT7A/SEMA3B/PITX2/ANXA6/EDN1/CITED2/SEMA3A/NRP1/BMP4/SEMA7A/FOXC2/SOX9/CDH2/BMP7",16
"GO:0007599","GO:0007599","hemostasis","30/1152","231/18870",7.60472937873394e-05,0.00353977403389616,0.00278532193439729,"VAV3/F3/PRSS56/FAP/MERTK/PLEK/SLC7A11/FGB/FGA/FGG/EDN1/TFPI2/SERPINE1/CD36/ACTB/CAV1/DGKI/PLAT/SYK/TLR4/PAPSS2/PRKCQ/SERPINA1/THBS1/ANXA2/C1QTNF1/SERPINB2/AXL/CEACAM1/PDGFB",30
"GO:0070169","GO:0070169","positive regulation of biomineral tissue development","12/1152","54/18870",7.94723073053014e-05,0.00366784903037857,0.00288609958108726,"WNT4/OSR1/SLC8A1/BMPR1B/ADGRV1/FBN2/PTN/GPM6B/ALOX5/BMP4/BMP2/BMP7",12
"GO:0050920","GO:0050920","regulation of chemotaxis","30/1152","232/18870",8.23571206843461e-05,0.00376904940543654,0.0029657305467136,"F3/PADI2/SEMA4A/S100A7/PRSS56/SEMA3B/ROBO1/VEGFC/BST1/KDR/CD74/EDN1/TREM2/GPSM3/SEMA3A/SERPINE1/PTN/TMSB4X/NOTCH1/LPAR1/C5/NRP1/PTPRO/TRPV4/THBS1/DAPK2/SEMA7A/NOD2/WNT3/PDGFB",30
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","20/1152","127/18870",8.53069143749852e-05,0.00387151213071808,0.00304635481070671,"TGFB2/TNNT2/DHRS3/ROBO1/NPY2R/NKX2-5/SLIT3/CITED2/GRHL2/NOTCH1/NRP1/PKP2/POU4F1/BMP4/DLL4/FOXC2/FZD2/NOG/BMP2/BMP7",20
